5.061934912432792810e-01,5.040598531464943743e-01
5.058707905444340680e-01,5.092615992061694241e-01
5.063154117754119499e-01,5.036476739251581902e-01
5.063378715306998679e-01,5.011563133808590864e-01
5.058574639647488436e-01,5.101049708662601656e-01
5.066668308326142123e-01,4.939457938942026227e-01
5.062626165381318710e-01,5.021683037403852357e-01
5.057798777423290204e-01,5.123973835671711274e-01
5.061934066356008621e-01,5.048138466008630365e-01
5.065864678779657959e-01,4.939960784370266422e-01
5.058776292544203690e-01,5.073166654314642532e-01
5.062934147599374990e-01,5.121105799797611713e-01
5.062835708046340422e-01,5.013238883558536196e-01
5.062231822588905139e-01,5.040726332850865576e-01
5.061737253097102762e-01,5.058779887092618166e-01
5.062425385336719597e-01,5.034088272472375669e-01
5.053629034269531140e-01,5.207189379281205177e-01
5.068054575698248687e-01,4.972092615524673076e-01
5.068961275965874202e-01,4.984726366755381499e-01
5.065460502556680122e-01,5.044108647237729448e-01
5.063632773594847203e-01,5.116561986428668218e-01
5.067467517047439252e-01,5.014499336575674038e-01
5.067465206545357370e-01,4.993695387795819007e-01
5.057776478207732795e-01,5.106228381690655072e-01
5.069679849033426056e-01,4.959592719104911618e-01
5.061361888285416111e-01,5.041123774531091062e-01
5.064138292757208726e-01,4.993536578609331089e-01
5.053956060325279775e-01,5.215222399016264943e-01
5.068420638652566534e-01,4.982049879597524877e-01
5.057783494592257290e-01,5.128176717404350216e-01
